Australian Domestic Air Fare Indexes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Disclaimer,,,,,,,,
Survey month,Real Business Class,Real Business Class (13 Month Moving Average),Real Full Economy,Real Full Economy (13 Month Moving Average),Real Restricted Economy,Real Restricted Economy (13 Month Moving Average),Real Best Discount,Real Best Discount (13 Month Moving Average)
1992-10-01 00:00:00,71.2666817846802,71.43088721455948,86.79684093199842,87.2508266873709,n.a.,,125.74971505083235,125.79434816037488
1992-11-01 00:00:00,71.51771545819702,71.3151686132376,87.06771649877899,87.30772288018521,n.a.,,127.1072926593308,123.69399057003861
1992-12-01 00:00:00,71.7400394305989,71.3373918646781,87.92414699046685,87.34637392040067,n.a.,,128.03906877708943,121.3646081023218
1993-01-01 00:00:00,71.20185859448996,71.3991936049743,87.3737362419065,87.34479663476364,n.a.,,109.16406112197734,119.28369449098167
1993-02-01 00:00:00,71.65807609472354,71.65057172029586,87.23284963628147,87.30890921048099,n.a.,,117.62041019567747,117.75155425054098
1993-03-01 00:00:00,71.65807609472354,72.18495722792818,86.8549471931108,87.24732689684592,n.a.,,115.7923250327927,117.06539966714166
1993-04-01 00:00:00,71.420223104153,73.00733789855477,86.9517335218587,87.17896916387099,n.a.,,120.12898229850609,116.28168251557624
1993-05-01 00:00:00,74.98827188615309,73.97247650089331,87.26105959439779,87.14024707085332,n.a.,,118.56501461975677,117.50618205110338
1993-06-01 00:00:00,76.01318264518383,74.85264916308405,87.33486256098705,87.13692081686192,n.a.,,120.87240750187036,119.5015907964664
1993-07-01 00:00:00,75.64094889888368,75.47760478723427,86.8618032227763,87.14312059623124,n.a.,,110.43855528598364,121.94691097381443
1993-08-01 00:00:00,75.22447779165141,75.78259666561378,87.04919314732349,87.12215044406665,n.a.,,125.90667882652984,124.67868650108556
1993-09-01 00:00:00,75.76433228900257,75.81612980444079,87.05354553953511,87.07393974596563,n.a.,,140.02054510448167,127.50822187435529
1993-10-01 00:00:00,75.64053436042576,75.69816346778045,86.91130118407835,87.01447104658205,n.a.,,125.53351383280052,129.40462420337573
1993-11-01 00:00:00,75.64053436042576,75.51225669144753,86.92247036060915,86.93900466430308,n.a.,,123.01975177054663,129.91641995636726
1993-12-01 00:00:00,75.64053436042576,75.32274547532536,86.92513185745601,86.803904409159,n.a.,,138.5028163418921,128.96021985948673
1994-01-01 00:00:00,75.2909832816391,75.21298784696661,86.53906181095643,86.63998632839699,n.a.,,123.64743625574009,127.1538713884352
1994-02-01 00:00:00,75.2909832816391,75.36091694049698,86.549306671069,86.53472981232436,n.a.,,124.43830573689529,125.01626513656397
1994-03-01 00:00:00,75.2909832816391,75.89288838646844,86.549306671069,86.56597448968704,n.a.,,120.74251843163083,123.11220605037043
1994-04-01 00:00:00,75.26669306800854,76.79619528841786,85.99002197529474,86.76095104327663,n.a.,,123.62380474493474,121.1118667156215
1994-05-01 00:00:00,78.63991553852942,77.88453514246339,86.67896774964547,87.07871003545014,n.a.,,120.81200770531007,119.22825402635662
1994-06-01 00:00:00,80.14719963781725,78.89235533696694,88.23058674212304,87.41557590954339,n.a.,,118.51907705419475,118.17098729130028
1994-07-01 00:00:00,79.75884329394381,79.60439886428658,87.71541246348035,87.6773094826024,n.a.,,111.89981413471256,118.50425952154184
1994-08-01 00:00:00,79.75884329394381,79.90454427671004,87.71541246348035,87.77956364664826,n.a.,,122.52057958720219,119.5376600640157
1994-09-01 00:00:00,79.75884329394381,79.80619884447471,87.74818995056714,87.67515841305467,n.a.,,118.12464578965567,120.90198514104289
1994-10-01 00:00:00,79.12484796833503,79.46454282514536,87.04646529218769,87.39760742904123,n.a.,,124.95731147470573,121.86508363253293
1994-11-01 00:00:00,79.08578044085003,79.06067864343207,87.04905361919435,87.01927345857442,n.a.,,124.66605179312083,122.09387298576638
1994-12-01 00:00:00,79.08578044085003,78.67518636211302,86.99301151188912,86.60097412615121,n.a.,,128.3182755282252,121.69269483441413
1995-01-01 00:00:00,77.8419949393792,78.28281736458105,85.65331809306404,86.17275015909168,n.a.,,107.24939800115318,120.8990141778741
1995-02-01 00:00:00,77.8419949393792,77.8324163595598,85.66309261855722,85.69080166761904,n.a.,,122.99963327649839,120.12759329373435
1995-03-01 00:00:00,77.8419949393792,77.36357953944122,85.66146686061585,85.20047465976602,n.a.,,119.74115698699387,119.4836720087511
1995-04-01 00:00:00,76.75918511796587,76.98384162605454,84.46988540505859,84.80935152144407,n.a.,,122.87890555301578,118.93965363948153
1995-05-01 00:00:00,76.75918511796587,76.80085320486856,84.58324403122376,84.62214655133725,n.a.,,121.40536263474745,118.63014134091041
1995-06-01 00:00:00,76.75918511796587,76.85348427344503,84.60320322967164,84.67214794321173,n.a.,,110.42126297083352,117.99756412050615
1995-07-01 00:00:00,75.8216683531663,77.09609761632893,83.57422835123698,84.90936962215065,n.a.,,118.9187253123915,117.07985045318158
1995-08-01 00:00:00,78.38639869838327,77.43260128888296,86.13354941800434,85.23935073386423,n.a.,,114.2047909608583,115.76264968200174
1995-09-01 00:00:00,78.39789707053477,77.69311922587274,86.18497484591899,85.52918014780929,n.a.,,121.07185230839288,114.52905705858305
1995-10-01 00:00:00,77.8039736078792,77.80262758570663,85.55645303705784,85.68629386716894,n.a.,,112.72402876235992,113.67194732166443
1995-11-01 00:00:00,77.80905243624092,77.82863362602163,85.55817640217091,85.71620419342733,n.a.,,108.1072078422225,113.50461766936216
